number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#242612,7/11/2021,7/11/2021,45.14,75.64,US,82.63,0,TRUE,27.1948,35.95%
#242611,7/11/2021,7/11/2021,32.15,58.49,US,70.48,4.97,FALSE,18.5508,31.72%
#242610,7/11/2021,7/11/2021,7.46,11.91,US,25.03,0,FALSE,3.4488,28.96%
#242609,7/11/2021,7/11/2021,22,40.44,US,52.43,0,FALSE,16.3428,40.41%
#242608,7/11/2021,7/11/2021,16.5,26.88,US,41.42,0,FALSE,8.7232,32.45%
#242607,7/11/2021,7/11/2021,42.45,69.8,US,81.79,0,FALSE,24.0784,34.50%
#242606,7/11/2021,7/11/2021,62,91.93,US,98.92,0,TRUE,25.9732,28.25%
#242605,7/11/2021,7/11/2021,28,44.44,US,56.43,0,FALSE,14.1828,31.91%
#242604,7/11/2021,7/11/2021,6,12.39,US,24.38,0.9,FALSE,4.5148,36.44%
#242603,7/11/2021,7/11/2021,26.92,39.14,US,51.13,0,FALSE,10.1748,26.00%
#242602,7/11/2021,7/11/2021,43.09,83.45,US,90.44,6.46,TRUE,30.2824,36.29%
#242601,7/11/2021,7/11/2021,90,145.3,US,162.81,0,TRUE,48.7876,33.58%
#242600,7/10/2021,7/10/2021,23.5,44.74,US,56.73,0,FALSE,18.9708,42.40%
#242599,7/10/2021,7/10/2021,17.22,41.35,US,53.34,0,FALSE,21.9964,53.20%
#242598,7/10/2021,7/10/2021,38.5,83.4,US,90.39,0,TRUE,41.2844,49.50%
#242597,7/10/2021,7/10/2021,14,27.58,US,39.57,0,FALSE,11.9972,43.50%
#242596,7/10/2021,7/10/2021,16.2,39.26,US,51.25,0,FALSE,21.01,53.52%
#242593,7/10/2021,7/10/2021,30,54.41,US,66.4,0,FALSE,21.754,39.98%
#242592,7/10/2021,7/10/2021,15.9,34.43,US,46.42,2.25,FALSE,14.4232,41.89%
#242591,7/10/2021,7/10/2021,39,64.23,US,76.22,0,FALSE,22.1812,34.53%
#242590,7/10/2021,7/10/2021,21.35,59.13,US,71.12,12,FALSE,22.9352,38.79%
#242588,7/10/2021,7/10/2021,55.75,85.92,US,99.14,0,TRUE,26.2044,30.50%
#242586,7/10/2021,7/10/2021,18,35.8,US,50.39,0,FALSE,15.7844,44.09%
#242585,7/10/2021,7/10/2021,24.2,47.51,US,59.5,0,FALSE,20.93,44.05%
#242584,7/10/2021,7/10/2021,15.7,20.18,US,32.17,0,FALSE,3.1932,15.82%
#242583,7/10/2021,7/10/2021,55.3,96.16,US,103.15,10.3,TRUE,26.434,27.49%
#242582,7/10/2021,7/10/2021,21,37.34,US,49.33,0,FALSE,14.3668,38.48%
#242581,7/10/2021,7/10/2021,111.64,228.09,US,235.08,23.76,TRUE,83.2868,36.51%
#242580,7/10/2021,7/10/2021,18,36.65,US,48.64,0,FALSE,16.7044,45.58%
#242579,7/10/2021,7/10/2021,73,122.74,US,129.73,22,TRUE,22.5508,18.37%
#242578,7/10/2021,7/10/2021,43.75,105.82,US,117.81,28.44,TRUE,28.9176,27.33%
#242577,7/10/2021,7/10/2021,95.14,188.39,US,195.38,18.9,TRUE,66.5348,35.32%
#242576,7/10/2021,7/10/2021,54.75,108.27,US,120.26,8.85,TRUE,39.8596,36.81%
#242575,7/10/2021,7/10/2021,44.65,85.73,US,92.72,4.5,TRUE,32.8712,38.34%
#242574,7/10/2021,7/10/2021,21.6,42.35,US,54.34,4.5,FALSE,14.0764,33.24%
#242573,7/10/2021,7/10/2021,25,67.68,US,79.67,22.75,FALSE,16.7432,24.74%
#242572,7/10/2021,7/10/2021,12.5,22.94,US,34.93,0,FALSE,9.0428,39.42%
#242571,7/10/2021,7/10/2021,15,29.14,US,41.13,0,FALSE,12.4948,42.88%
