number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#232658,4/18/2021,4/18/2021,38,81.05,QA,132.87,0,TRUE,37.7352,46.56%
#232657,4/18/2021,4/18/2021,47.1,78.06,US,85.05,0,TRUE,27.558,35.30%
#232656,4/18/2021,4/18/2021,13,23.96,US,42.1,0,FALSE,9.276,38.71%
#232655,4/18/2021,4/18/2021,33.52,60.79,US,75.78,0,FALSE,24.2388,39.87%
#232654,4/18/2021,4/18/2021,146.4,246.34,US,253.33,0,TRUE,89.8068,36.46%
#232653,4/18/2021,4/18/2021,21,41.72,US,56.71,0,FALSE,18.4516,44.23%
#232652,4/18/2021,4/18/2021,5.5,12.96,US,27.95,0,FALSE,6.342,48.94%
#232651,4/18/2021,4/18/2021,72.5,118.57,US,125.56,0,TRUE,41.0476,34.62%
#232650,4/18/2021,4/18/2021,56,102.16,US,109.15,0,TRUE,41.794,40.91%
#232649,4/18/2021,4/18/2021,48.98,86.72,US,93.71,0,TRUE,33.9916,39.20%
#232648,4/18/2021,4/18/2021,40.8,81.86,US,88.85,0,TRUE,37.506,45.82%
#232647,4/18/2021,4/18/2021,12.5,24.36,US,39.35,0,FALSE,10.286,42.22%
#232646,4/18/2021,4/18/2021,22.5,56.67,US,75.59,0,FALSE,31.1464,54.96%
#232645,4/18/2021,4/18/2021,88.73,181.55,US,198.91,0,TRUE,84.8636,46.74%
#232644,4/18/2021,4/18/2021,32.4,62.37,US,77.36,0,FALSE,26.8756,43.09%
#232643,4/18/2021,4/18/2021,12,28.42,US,43.41,0,FALSE,14.6836,51.67%
#232642,4/18/2021,4/18/2021,60,72.18,US,87.17,0,FALSE,8.6932,12.04%
#232641,4/18/2021,4/18/2021,37.09,70.24,US,85.23,0,FALSE,29.7408,42.34%
#232640,4/18/2021,4/18/2021,72.23,127.76,US,134.75,0,TRUE,50.14,39.25%
#232639,4/18/2021,4/18/2021,17.48,29.69,US,51.52,0,FALSE,10.1492,34.18%
#232638,4/18/2021,4/18/2021,131,200.49,US,207.48,0,TRUE,61.1908,30.52%
#232637,4/18/2021,4/18/2021,32,27.05,US,42.04,0,FALSE,-6.6316,-24.52%
#232636,4/18/2021,4/18/2021,38.59,67.24,US,88.18,0,FALSE,25.1228,37.36%
#232635,4/18/2021,4/18/2021,39.8,53.05,US,68.04,0,FALSE,10.5284,19.85%
#232634,4/18/2021,4/18/2021,55,108.25,US,115.24,0,TRUE,48.6404,44.93%
#232633,4/18/2021,4/18/2021,38.5,83.92,US,90.91,0,TRUE,41.7836,49.79%
#232632,4/18/2021,4/18/2021,33,49.6,US,64.59,0,FALSE,14.0164,28.26%
#232631,4/18/2021,4/18/2021,134.04,214.11,US,221.1,0,TRUE,71.226,33.27%
#232630,4/18/2021,4/18/2021,158.5,264.56,AU,349.92,0,TRUE,92.0632,34.80%
#232629,4/18/2021,4/18/2021,11.5,24.14,US,41.48,0,FALSE,10.9808,45.49%
#232628,4/18/2021,4/18/2021,34.9,97.46,US,132.84,0,TRUE,57.2464,58.74%
#232626,4/18/2021,4/18/2021,12.5,28.38,US,43.37,0,FALSE,14.1452,49.84%
#232625,4/18/2021,4/18/2021,41.1,86.11,US,93.1,0,TRUE,41.286,47.95%
#232624,4/18/2021,4/18/2021,19.75,53.12,US,68.11,0,FALSE,30.6456,57.69%
#232623,4/18/2021,4/18/2021,9.75,28.11,US,43.1,0,FALSE,16.636,59.18%
#232622,4/18/2021,4/18/2021,51.51,85.34,US,98.51,0,TRUE,29.8896,35.02%
#232621,4/18/2021,4/18/2021,19.66,36.84,US,51.83,0,FALSE,15.1068,41.01%
#232620,4/18/2021,4/18/2021,63.75,103.76,US,110.75,0,TRUE,35.58,34.29%
#232619,4/18/2021,4/18/2021,107.1,181.03,US,188.02,0,TRUE,66.4092,36.68%
#232618,4/18/2021,4/18/2021,45.3,84.23,US,91.22,0,TRUE,35.2812,41.89%
#232617,4/18/2021,4/18/2021,31.25,60.53,US,81.27,0,FALSE,26.0292,43.00%
#232616,4/18/2021,4/18/2021,18.8,27,US,41.99,0,FALSE,6.5204,24.15%
#232615,4/18/2021,4/18/2021,127.5,189.18,US,217.95,0,TRUE,52.962,28.00%
#232614,4/18/2021,4/18/2021,44,101.94,US,108.93,0,TRUE,53.5828,52.56%
#232613,4/18/2021,4/18/2021,43.75,86.57,US,99.83,0,TRUE,38.8268,44.85%
#232612,4/18/2021,4/18/2021,10.98,17.95,US,32.94,0,FALSE,5.6524,31.49%
#232611,4/18/2021,4/18/2021,12.5,24.88,US,39.87,0,FALSE,10.7852,43.35%
#232610,4/18/2021,4/18/2021,37.58,71.1,US,101.22,0,FALSE,29.4712,41.45%
#232609,4/18/2021,4/18/2021,6.25,12.69,US,28.6,0,FALSE,5.296,41.73%
#232608,4/18/2021,4/18/2021,39.98,60.36,US,88.32,0,FALSE,16.8472,27.91%
#232607,4/18/2021,4/18/2021,42.85,79.77,US,92.53,0,TRUE,33.2188,41.64%
#232606,4/18/2021,4/18/2021,25.5,43.1,US,62.19,0,FALSE,15.1124,35.06%
#232605,4/18/2021,4/18/2021,14.3,24.94,US,42.72,0,FALSE,8.9312,35.81%
#232604,4/18/2021,4/18/2021,13,26.86,US,41.85,0,FALSE,12.186,45.37%
#232603,4/18/2021,4/18/2021,49.5,69.7,US,99.53,0,FALSE,16.2188,23.27%
#232602,4/18/2021,4/18/2021,22.5,44.97,US,59.96,0,FALSE,20.0716,44.63%
#232601,4/18/2021,4/18/2021,11,20.97,US,35.96,0,FALSE,8.5316,40.68%
#232600,4/18/2021,4/18/2021,28,41.61,US,56.6,0,FALSE,11.346,27.27%
#232599,4/18/2021,4/18/2021,42,84.15,US,91.14,0,TRUE,38.5044,45.76%
#232598,4/18/2021,4/18/2021,27.18,49.09,US,64.08,0,FALSE,19.3468,39.41%
#232597,4/18/2021,4/18/2021,90.25,159.65,US,177.23,0,TRUE,62.3108,39.03%
#232596,4/18/2021,4/18/2021,18.75,92.97,US,106.7,0,TRUE,69.952,75.24%
#232595,4/18/2021,4/18/2021,28,44.74,US,59.73,0,FALSE,14.3508,32.08%
#232594,4/18/2021,4/18/2021,59.5,79.55,US,86.54,0,TRUE,16.5884,20.85%
#232593,4/18/2021,4/18/2021,70,108.49,US,115.48,0,TRUE,33.8708,31.22%
#232592,4/18/2021,4/18/2021,22.5,40.1,US,55.09,0,FALSE,15.3964,38.40%
#232591,4/18/2021,4/18/2021,60,86.26,US,93.25,0,TRUE,22.53,26.12%
#232590,4/18/2021,4/18/2021,40,59.29,US,79.3,0,FALSE,16.118,27.19%
#232589,4/18/2021,4/18/2021,24.8,43.42,US,58.41,0,FALSE,16.2836,37.50%
#232588,4/18/2021,4/18/2021,44.25,75.56,US,82.55,0,TRUE,28.008,37.07%
#232587,4/18/2021,4/18/2021,55,106.61,QA,162.85,0,TRUE,45.096,42.30%
#232586,4/18/2021,4/18/2021,24.26,48.75,US,63.74,0,FALSE,21.9404,45.01%
#232585,4/18/2021,4/18/2021,13.5,30.45,US,45.44,0,FALSE,15.1324,49.70%
#232584,4/18/2021,4/18/2021,20.5,50.07,US,65.06,0,FALSE,26.9676,53.86%
#232583,4/18/2021,4/18/2021,44,87.64,US,100.98,0,TRUE,39.6008,45.19%
#232582,4/18/2021,4/18/2021,23.48,41.25,US,56.24,0,FALSE,15.5204,37.63%
#232581,4/18/2021,4/18/2021,33.94,69.79,US,99.64,0,FALSE,31.8644,45.66%
#232580,4/18/2021,4/18/2021,38.75,76.59,US,89.62,0,TRUE,34.2552,44.73%
#232579,4/18/2021,4/18/2021,50.98,78.08,US,85.07,0,TRUE,23.6972,30.35%
#232578,4/18/2021,4/18/2021,12.5,23.14,US,38.13,0,FALSE,9.1148,39.39%
#232576,4/18/2021,4/18/2021,0,41.74,US,65.98,0,FALSE,39.1008,93.68%
#232574,4/18/2021,4/18/2021,21.59,83.94,US,95.92,0,TRUE,58.5132,69.71%
#232573,4/18/2021,4/18/2021,0,20.97,US,35.96,0,FALSE,19.5316,93.14%
#232572,4/18/2021,4/18/2021,24.5,51.98,US,78.27,0,FALSE,24.3492,46.84%
#232566,4/17/2021,4/17/2021,52.7,86.72,US,111.47,0,TRUE,29.5612,34.09%
#232565,4/17/2021,4/17/2021,6.25,35.99,US,50.98,0,FALSE,27.7008,76.97%
#232564,4/17/2021,4/17/2021,37.27,81.48,US,88.47,0,TRUE,40.6712,49.92%
#232563,4/17/2021,4/17/2021,11,24.88,US,39.87,0,FALSE,12.2852,49.38%
#232562,4/17/2021,4/17/2021,16.48,28.76,US,43.75,0,FALSE,10.53,36.61%
#232561,4/17/2021,4/17/2021,43.2,70.26,US,85.25,0,FALSE,23.65,33.66%
#232559,4/17/2021,4/17/2021,28.95,54.04,US,69.03,0,FALSE,22.3288,41.32%
#232558,4/17/2021,4/17/2021,25.01,48.22,US,63.21,0,FALSE,20.6816,42.89%
#232557,4/17/2021,4/17/2021,18.75,36.94,US,51.93,0,FALSE,16.1128,43.62%
#232556,4/17/2021,4/17/2021,26.4,55.61,US,70.6,0,FALSE,26.386,47.45%
#232555,4/17/2021,4/17/2021,30.12,57.96,US,72.95,0,FALSE,24.922,43.00%
#232554,4/17/2021,4/17/2021,39,72.99,US,87.98,0,FALSE,30.4708,41.75%
#232553,4/17/2021,4/17/2021,51,96.53,US,123.25,0,TRUE,40.6,42.06%
#232551,4/17/2021,4/17/2021,10.52,20.72,US,35.71,0,FALSE,8.7716,42.33%
#232550,4/17/2021,4/17/2021,7.25,11.9,US,26.89,0,FALSE,3.5744,30.04%
#232549,4/17/2021,4/17/2021,43.13,78.57,US,93.17,0,TRUE,31.7132,40.36%
#232547,4/17/2021,4/17/2021,25.5,37.63,US,52.62,0,FALSE,10.0252,26.64%
#232546,4/17/2021,4/17/2021,25.5,44.37,US,59.36,0,FALSE,16.4956,37.18%
#232545,4/17/2021,4/17/2021,10.98,64.32,US,93.07,0,FALSE,49.6172,77.14%
#232544,4/17/2021,4/17/2021,0,23.3,US,38.29,0,FALSE,21.7684,93.43%
#232543,4/17/2021,4/17/2021,17.5,35.39,US,50.38,0,FALSE,15.8748,44.86%
#232542,4/17/2021,4/17/2021,132,180.15,US,187.14,0,TRUE,40.6644,22.57%
#232541,4/17/2021,4/17/2021,99.9,313.78,PT,371.3,0,TRUE,199.028,63.43%
#232539,4/17/2021,4/17/2021,31.25,60.59,US,75.58,0,FALSE,26.3168,43.43%
#232538,4/17/2021,4/17/2021,43.5,81.47,IS,132.96,0,TRUE,32.6516,40.08%
#232537,4/17/2021,4/17/2021,22.85,44.29,US,59.28,0,FALSE,19.0688,43.05%
#232536,4/17/2021,4/17/2021,13.32,39.22,US,59.25,0,FALSE,23.53,59.99%
#232535,4/17/2021,4/17/2021,17.58,36.78,US,51.77,0,FALSE,17.1292,46.57%
#232534,4/17/2021,4/17/2021,79.98,136.55,US,143.54,0,TRUE,50.8284,37.22%
#232533,4/17/2021,4/17/2021,28,51.49,US,71.38,0,FALSE,20.6348,40.08%
#232532,4/17/2021,4/17/2021,6.25,29.87,US,44.86,0,FALSE,21.8256,73.07%
#232531,4/17/2021,4/17/2021,36.94,69.36,US,89.72,0,FALSE,28.8312,41.57%
#232530,4/17/2021,4/17/2021,11,24.88,US,39.87,0,FALSE,12.2852,49.38%
#232529,4/17/2021,4/17/2021,26.55,50.62,US,70.2,0,FALSE,21.262,42.00%
#232528,4/17/2021,4/17/2021,7,24.67,US,39.66,0,FALSE,16.0836,65.19%
#232527,4/17/2021,4/17/2021,11,24.88,US,39.87,0,FALSE,12.2852,49.38%
#232526,4/17/2021,4/17/2021,27.5,60.59,US,75.58,0,FALSE,30.0668,49.62%
#232525,4/17/2021,4/17/2021,9.2,17.59,US,34.78,0,FALSE,6.9988,39.79%
#232524,4/17/2021,4/17/2021,97.7,177.44,US,184.43,0,TRUE,72.3628,40.78%
#232523,4/17/2021,4/17/2021,22.25,39.17,US,58.76,0,FALSE,14.5696,37.20%
#232522,4/17/2021,4/17/2021,55,118.45,US,125.44,0,TRUE,58.4324,49.33%
#232521,4/17/2021,4/17/2021,6.5,13.99,US,28.98,0,FALSE,6.3308,45.25%
#232520,4/17/2021,4/17/2021,26,50.28,US,69.41,0,FALSE,21.5036,42.77%
#232519,4/17/2021,4/17/2021,17.5,38.88,US,53.87,0,FALSE,19.2252,49.45%
#232518,4/17/2021,4/17/2021,31.67,76.46,US,83.45,0,TRUE,41.452,54.21%
#232517,4/17/2021,4/17/2021,30.5,52.83,US,67.82,0,FALSE,19.6172,37.13%
#232516,4/17/2021,4/17/2021,7.15,12.99,US,27.98,0,FALSE,4.7208,36.34%
#232515,4/17/2021,4/17/2021,40.15,65.9,US,80.89,0,FALSE,22.5144,34.16%
#232514,4/17/2021,4/17/2021,17.35,35.93,US,53.52,0,FALSE,16.4392,45.75%
#232513,4/17/2021,4/17/2021,15.27,41.43,US,56.42,0,FALSE,23.9032,57.70%
#232512,4/17/2021,4/17/2021,41.8,77.46,US,84.45,0,TRUE,32.282,41.68%
#232511,4/17/2021,4/17/2021,18.4,40.21,US,55.2,0,FALSE,19.602,48.75%
#232510,4/17/2021,4/17/2021,54.94,105.6,US,112.59,0,TRUE,46.1564,43.71%
#232509,4/17/2021,4/17/2021,18.25,38.61,JP,92.43,0,FALSE,16.6628,43.16%
#232508,4/17/2021,4/17/2021,50.02,90.59,US,104.15,0,TRUE,36.404,40.19%
#232506,4/17/2021,4/17/2021,39.95,80.44,US,87.43,0,TRUE,36.9928,45.99%
#232505,4/17/2021,4/17/2021,24.15,48.07,US,63.06,0,FALSE,21.3976,44.51%
#232504,4/17/2021,4/17/2021,5.75,31.05,US,46.04,0,FALSE,23.4584,75.55%
#232503,4/17/2021,4/17/2021,18.75,36.17,US,70.42,0,FALSE,14.6032,40.37%
#232502,4/17/2021,4/17/2021,21.29,38.76,US,53.75,0,FALSE,15.32,39.53%
#232501,4/17/2021,4/17/2021,27,104.67,US,119.25,0,TRUE,72.9,69.65%
#232500,4/17/2021,4/17/2021,7,23.13,US,38.12,0,FALSE,14.6052,63.14%
#232499,4/17/2021,4/17/2021,21,41.72,US,56.71,0,FALSE,18.4516,44.23%
#232498,4/17/2021,4/17/2021,13,22.4,US,37.39,0,FALSE,7.9044,35.29%
#232497,4/17/2021,4/17/2021,19.97,42.55,US,57.54,0,FALSE,20.2784,47.66%
#232496,4/17/2021,4/17/2021,60.75,81.2,US,94.36,0,TRUE,16.6756,20.54%
#232495,4/17/2021,4/17/2021,39,78.06,US,85.05,0,TRUE,35.658,45.68%
#232494,4/17/2021,4/17/2021,48.18,88.12,US,95.11,0,TRUE,36.1356,41.01%
#232492,4/17/2021,4/17/2021,110,190.96,US,197.95,0,TRUE,73.042,38.25%
#232491,4/17/2021,4/17/2021,6.5,29.59,US,44.58,0,FALSE,21.3068,72.01%
#232490,4/17/2021,4/17/2021,187.5,342.63,US,418.57,0,TRUE,138.3872,40.39%
#232489,4/17/2021,4/17/2021,27.86,69.47,US,84.46,0,FALSE,38.2316,55.03%
#232488,4/17/2021,4/17/2021,23.5,43.97,US,58.96,0,FALSE,18.1116,41.19%
#232487,4/17/2021,4/17/2021,17.98,33.73,US,52.13,0,FALSE,13.6648,40.51%
#232486,4/17/2021,4/17/2021,133.5,249.93,US,256.92,0,TRUE,106.1532,42.47%
#232485,4/17/2021,4/17/2021,51.75,98.93,US,113.09,0,TRUE,42.6564,43.12%
#232483,4/17/2021,4/17/2021,32.2,87.36,US,100.72,0,TRUE,51.1312,58.53%
#232482,4/17/2021,4/17/2021,25,33.87,US,48.86,0,FALSE,6.9156,20.42%
#232481,4/17/2021,4/17/2021,67.9,118.13,US,133.12,0,TRUE,44.9052,38.01%
#232480,4/17/2021,4/17/2021,111,169.82,US,176.81,0,TRUE,51.7476,30.47%
#232479,4/17/2021,4/17/2021,28,40.23,US,55.22,0,FALSE,10.0212,24.91%
#232478,4/17/2021,4/17/2021,22.75,45.45,US,64.28,0,FALSE,20.1288,44.29%
#232477,4/17/2021,4/17/2021,24.5,43.33,US,58.32,0,FALSE,16.4972,38.07%
#232476,4/17/2021,4/17/2021,40.15,60.33,US,75.32,0,FALSE,17.1672,28.46%
#232475,4/17/2021,4/17/2021,28.75,47.07,US,62.06,0,FALSE,15.8376,33.65%
#232474,4/17/2021,4/17/2021,52,89.46,US,114.76,0,TRUE,32.8696,36.74%
#232471,4/17/2021,4/17/2021,17.5,28.66,US,46.37,0,FALSE,9.3052,32.47%
#232470,4/17/2021,4/17/2021,39,81,US,87.99,0,TRUE,38.4804,47.51%
#232469,4/17/2021,4/17/2021,0,23.3,US,38.29,0,FALSE,21.7684,93.43%
#232468,4/17/2021,4/17/2021,9.4,17.81,US,32.8,0,FALSE,7.098,39.85%
#232467,4/17/2021,4/17/2021,21.38,52.34,US,67.33,0,FALSE,28.2668,54.01%
#232464,4/17/2021,4/17/2021,70,161.98,US,168.97,0,TRUE,85.2212,52.61%
#232463,4/17/2021,4/17/2021,22,49.9,US,64.89,0,FALSE,25.3044,50.71%
#232462,4/17/2021,4/17/2021,16.5,204.51,US,219.5,0,TRUE,179.23,87.64%
#232461,4/17/2021,4/17/2021,49.59,126.69,US,133.68,0,TRUE,71.7528,56.64%
#232460,4/17/2021,4/17/2021,79.25,155.26,US,162.25,0,TRUE,69.52,44.78%
#232459,4/17/2021,4/17/2021,56.75,78.09,US,85.08,0,TRUE,17.9368,22.97%
#232458,4/17/2021,4/17/2021,6.5,37.95,US,52.94,0,FALSE,29.3324,77.29%
#232457,4/17/2021,4/17/2021,28.2,46.1,US,64.76,0,FALSE,15.3096,33.21%
#232456,4/17/2021,4/17/2021,21.22,133.55,US,140.54,0,TRUE,106.7084,79.90%
#232454,4/17/2021,4/17/2021,15.4,23.85,US,38.84,0,FALSE,6.8964,28.92%
#232453,4/17/2021,4/17/2021,25.2,71.47,US,86.46,0,FALSE,42.8116,59.90%
#232452,4/17/2021,4/17/2021,0,91.92,US,105.18,0,TRUE,87.7128,95.42%
#232451,4/17/2021,4/17/2021,23.48,43.87,US,58.86,0,FALSE,18.0356,41.11%
#232450,4/17/2021,4/17/2021,57.5,121.18,US,128.17,0,TRUE,58.5532,48.32%
#232448,4/17/2021,4/17/2021,84.5,139.33,IE,193.72,0,TRUE,47.0812,33.79%
#232447,4/17/2021,4/17/2021,48.7,93.81,US,107.61,0,TRUE,40.8056,43.50%
#232446,4/17/2021,4/17/2021,22,48.73,US,63.72,0,FALSE,24.1812,49.62%
#232445,4/17/2021,4/17/2021,24.25,77.45,US,84.44,0,TRUE,49.8224,64.33%
#232444,4/17/2021,4/17/2021,41.5,75.27,US,86.78,0,TRUE,30.2988,40.25%
#232443,4/17/2021,4/17/2021,28.33,58.64,US,86.56,0,FALSE,26.8476,45.78%
#232442,4/16/2021,4/16/2021,12.75,26.95,US,41.94,0,FALSE,12.5224,46.47%
#232440,4/16/2021,4/16/2021,6.5,13.99,US,28.98,0,FALSE,6.3308,45.25%
#232437,4/16/2021,4/16/2021,43,80.68,US,87.67,0,TRUE,34.1732,42.36%
#232436,4/16/2021,4/16/2021,12,23.33,US,40.02,0,FALSE,9.7292,41.70%
#232435,4/16/2021,4/16/2021,42.5,72.79,US,93.06,0,FALSE,26.5676,36.50%
#232434,4/16/2021,4/16/2021,46.98,114.93,US,121.92,0,TRUE,63.0732,54.88%
#232433,4/16/2021,4/16/2021,11,25.11,US,53.76,0,FALSE,11.9596,47.63%
#232432,4/16/2021,4/16/2021,71.5,93.8,US,100.79,0,TRUE,18.2684,19.48%
#232431,4/16/2021,4/16/2021,0,59.77,US,80.43,0,FALSE,56.5528,94.62%
#232429,4/16/2021,4/16/2021,44.25,74.97,US,89.96,0,FALSE,27.1216,36.18%
#232428,4/16/2021,4/16/2021,30,56.34,US,71.33,0,FALSE,23.4868,41.69%
#232427,4/16/2021,4/16/2021,95.18,84.35,US,91.34,0,TRUE,-14.4836,-17.17%
#232423,4/16/2021,4/16/2021,46.84,73.64,US,104.25,0,FALSE,22.63,30.73%
#232422,4/16/2021,4/16/2021,40.5,98.9,US,105.89,0,TRUE,54.1644,54.77%
#232421,4/16/2021,4/16/2021,16.3,22.5,US,46.49,0,FALSE,4.3404,19.29%
#232420,4/16/2021,4/16/2021,41.25,82.3,US,89.29,0,TRUE,37.4784,45.54%
#232419,4/16/2021,4/16/2021,12.5,19.99,US,37.43,0,FALSE,5.9928,29.98%
#232418,4/16/2021,4/16/2021,16.5,65.11,US,80.1,0,FALSE,45.406,69.74%
#232417,4/16/2021,4/16/2021,37,68.16,US,88.09,0,FALSE,27.6364,40.55%
#232416,4/16/2021,4/16/2021,49.33,126.12,US,133.11,0,TRUE,71.4656,56.66%
#232415,4/16/2021,4/16/2021,25,47.71,US,62.7,0,FALSE,20.202,42.34%
#232413,4/16/2021,4/16/2021,39.75,82.22,US,89.21,0,TRUE,38.9016,47.31%
#232412,4/16/2021,4/16/2021,74.83,128.91,US,135.9,0,TRUE,48.644,37.73%
#232411,4/16/2021,4/16/2021,5.75,14.8,US,33.8,0,FALSE,7.698,52.01%
#232410,4/16/2021,4/16/2021,9.3,25.58,US,40.57,0,FALSE,14.6572,57.30%
#232409,4/16/2021,4/16/2021,18.75,31.77,US,50.78,0,FALSE,10.9888,34.59%
#232408,4/16/2021,4/16/2021,40.5,78.57,US,90.99,0,TRUE,34.4304,43.82%
#232407,4/16/2021,4/16/2021,12.5,24.36,US,41.12,0,FALSE,10.2152,41.93%
#232406,4/16/2021,4/16/2021,49,75.96,US,88.77,0,TRUE,23.4092,30.82%
#232405,4/16/2021,4/16/2021,49.5,109.62,US,124.78,0,TRUE,55.1288,50.29%
#232404,4/16/2021,4/16/2021,38,75.24,US,89.88,0,TRUE,33.6448,44.72%
#232403,4/16/2021,4/16/2021,37.5,70.59,US,92.3,0,FALSE,29.398,41.65%
#232402,4/16/2021,4/16/2021,82.5,213.48,US,235.34,0,TRUE,121.5664,56.95%
#232401,4/16/2021,4/16/2021,66,102.5,US,119.23,0,TRUE,31.7308,30.96%
#232400,4/16/2021,4/16/2021,21.67,40.17,US,64.09,0,FALSE,15.9364,39.67%
#232399,4/16/2021,4/16/2021,24.75,37.28,US,52.27,0,FALSE,10.4392,28.00%
#232398,4/16/2021,4/16/2021,28,49.32,US,64.31,0,FALSE,18.7476,38.01%
#232397,4/16/2021,4/16/2021,18,36.09,US,59.5,0,FALSE,15.71,43.53%
#232396,4/16/2021,4/16/2021,98,149.89,US,156.88,0,TRUE,45.6148,30.43%
#232395,4/16/2021,4/16/2021,49.5,78.62,US,85.61,0,TRUE,25.6956,32.68%
#232394,4/16/2021,4/16/2021,42.7,78.06,US,85.05,0,TRUE,31.958,40.94%
#232393,4/16/2021,4/16/2021,19.99,45.09,US,60.08,0,FALSE,22.6968,50.34%
#232392,4/16/2021,4/16/2021,20.25,38.45,US,56.23,0,FALSE,15.9508,41.48%
#232391,4/16/2021,4/16/2021,60,86.84,US,100.4,0,TRUE,22.824,26.28%
#232390,4/16/2021,4/16/2021,22,115.01,US,130.34,0,TRUE,87.7964,76.34%
#232389,4/16/2021,4/16/2021,62.53,115.89,US,122.88,0,TRUE,48.4448,41.80%
#232388,4/16/2021,4/16/2021,20.36,39.93,US,58.41,0,FALSE,17.2336,43.16%
#232387,4/16/2021,4/16/2021,10,16.99,US,31.98,0,FALSE,5.7108,33.61%
#232386,4/16/2021,4/16/2021,43.59,76.19,US,83.18,0,TRUE,29.2728,38.42%
#232385,4/16/2021,4/16/2021,38.25,58.86,US,73.85,0,FALSE,17.656,30.00%
#232384,4/16/2021,4/16/2021,80.5,126.05,US,133.04,0,TRUE,40.2284,31.91%
#232383,4/16/2021,4/16/2021,38,77.54,US,96.16,0,TRUE,35.6936,46.03%
#232382,4/16/2021,4/16/2021,129,213.92,US,228.91,0,TRUE,75.7636,35.42%
#232381,4/16/2021,4/16/2021,66.4,117.9,US,124.89,0,TRUE,46.5044,39.44%
#232380,4/16/2021,4/16/2021,6.25,12.69,US,27.68,0,FALSE,5.3328,42.02%
#232379,4/16/2021,4/16/2021,70,126.86,US,133.85,0,TRUE,51.506,40.60%
#232378,4/16/2021,4/16/2021,50,83.02,US,90.01,0,TRUE,29.4196,35.44%
#232377,4/16/2021,4/16/2021,21,39.96,US,54.95,0,FALSE,16.762,41.95%
#232376,4/16/2021,4/16/2021,40,74.18,US,89.17,0,FALSE,30.6132,41.27%
#232375,4/16/2021,4/16/2021,11,25.92,US,46.99,0,FALSE,13.0404,50.31%
#232374,4/16/2021,4/16/2021,42,83.6,US,98.59,0,TRUE,37.6564,45.04%
#232373,4/16/2021,4/16/2021,0,21.74,US,36.73,0,FALSE,20.2708,93.24%
#232372,4/16/2021,4/16/2021,16.5,36.94,US,51.93,0,FALSE,18.3628,49.71%
#232371,4/16/2021,4/16/2021,37.7,78.63,US,85.62,0,TRUE,37.5052,47.70%
#232370,4/16/2021,4/16/2021,25,42.94,US,61.04,0,FALSE,15.4984,36.09%
#232369,4/16/2021,4/16/2021,28,55.65,US,75.92,0,FALSE,24.6132,44.23%
#232368,4/16/2021,4/16/2021,8.5,13.32,US,28.31,0,FALSE,3.6876,27.68%
#232367,4/16/2021,4/16/2021,6,14.8,US,29.79,0,FALSE,7.6084,51.41%
#232366,4/16/2021,4/16/2021,56.5,120.49,US,136.21,0,TRUE,58.5416,48.59%
#232365,4/16/2021,4/16/2021,52,102.25,US,117.24,0,TRUE,45.5604,44.56%
#232364,4/16/2021,4/16/2021,105.94,220.12,US,227.11,0,TRUE,105.0956,47.74%
#232363,4/16/2021,4/16/2021,16.59,29.99,US,44.98,0,FALSE,11.6008,38.68%
#232362,4/16/2021,4/16/2021,71.5,92.26,US,107.79,0,TRUE,16.4484,17.83%
#232361,4/16/2021,4/16/2021,69,130.86,US,137.85,0,TRUE,56.346,43.06%
#232360,4/16/2021,4/16/2021,56.3,109.09,US,116.08,0,TRUE,48.1468,44.13%
#232359,4/16/2021,4/16/2021,42.5,80.68,US,87.67,0,TRUE,34.6732,42.98%
#232358,4/16/2021,4/16/2021,17.75,30.73,US,48.63,0,FALSE,11.0348,35.91%
#232357,4/16/2021,4/16/2021,24,37.02,US,54.69,0,FALSE,10.8324,29.26%
#232356,4/16/2021,4/16/2021,0,85.61,US,92.6,0,TRUE,81.906,95.67%
#232355,4/16/2021,4/16/2021,63,97.96,US,104.95,0,TRUE,30.762,31.40%
#232354,4/16/2021,4/16/2021,183.6,281.03,US,296.02,0,TRUE,85.5892,30.46%
#232353,4/16/2021,4/16/2021,13,22.4,US,37.39,0,FALSE,7.9044,35.29%
#232352,4/16/2021,4/16/2021,46.86,132.27,US,151.65,0,TRUE,79.344,59.99%
#232351,4/16/2021,4/16/2021,37.5,83.49,US,90.48,0,TRUE,42.3708,50.75%
#232350,4/16/2021,4/16/2021,48.78,78.1,US,90.19,0,TRUE,25.7124,32.92%
#232349,4/16/2021,4/16/2021,49.5,59.33,US,78.62,0,FALSE,6.6852,11.27%
#232348,4/16/2021,4/16/2021,70,108.49,US,115.48,0,TRUE,33.8708,31.22%
#232347,4/16/2021,4/16/2021,25.98,44.16,US,63.58,0,FALSE,15.6368,35.41%
#232346,4/16/2021,4/16/2021,15.18,25.38,US,46.35,0,FALSE,8.346,32.88%
#232345,4/16/2021,4/16/2021,0,23.3,US,38.29,0,FALSE,21.7684,93.43%
#232344,4/16/2021,4/16/2021,13.98,32.85,US,52.77,0,FALSE,16.7592,51.02%
#232343,4/16/2021,4/16/2021,75,123.35,US,130.34,0,TRUE,43.1364,34.97%
#232342,4/16/2021,4/16/2021,44.59,75.12,US,82.11,0,TRUE,27.2456,36.27%
#232341,4/16/2021,4/16/2021,22,44.42,US,64.21,0,FALSE,19.8516,44.69%
